datetime,year,yday,hour,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,do,do2_sat
2007-07-08T01:00:00Z,2007,189,2,23.96142857142857,1e-5,4.5,6.682964395700734,7.88596918999173,1.0555225297593023,4.688713182534322e-6,8.25128672219039,1.0463250012011578
2007-07-08T02:00:00Z,2007,189,3,23.912857142857142,1e-5,5.8,6.63102430895031,7.886922311573163,1.0540839439019705,4.7119946208741155e-6,8.248121167782301,1.0457971870318945
2007-07-08T03:00:00Z,2007,189,4,23.861428571428572,1e-5,4.3,6.720884434540692,7.878898333202545,1.0551142875910078,4.67182875249824e-6,8.24352704194564,1.0462791488508627
2007-07-08T04:00:00Z,2007,189,5,23.805714285714284,1e-5,2,6.905421529842652,7.888609874388092,1.0537722565335113,4.590996991478385e-6,8.246075773251835,1.0453141814027749
2007-07-08T05:00:00Z,2007,189,6,23.75,69.564,3,6.871073414258566,7.899481329740387,1.0535448983620137,32.04031781309522,8.244338790272318,1.0436557092974692
2007-07-08T06:00:00Z,2007,189,7,23.73857142857143,286.95142857142855,2.9,6.681210878914887,7.901757793885299,1.0531983513214556,134.5657649597402,8.246887521578515,1.043677588796798
2007-07-08T07:00:00Z,2007,189,8,23.754285714285714,330.42571428571426,2.4,6.576662120524773,7.902553046264192,1.0530493447814242,156.5079414452832,8.245150538598995,1.0433527608519833
2007-07-08T08:00:00Z,2007,189,9,23.897142857142857,321.72999999999996,1.6,6.451716598686155,7.883562350841286,1.0555429085923875,154.22966064906132,8.183413555619477,1.0380349886807445
2007-07-08T09:00:00Z,2007,189,10,24.024285714285714,565.2014285714286,2.1,6.391960549164015,7.866985599133126,1.0488259138536047,272.51178628311584,8.158819429782817,1.0370960168888383
2007-07-08T10:00:00Z,2007,189,11,24.17,1252.1285714285714,3.7,6.255064924553843,7.8429220849308265,1.0520005550666154,611.788167315039,8.159939589660455,1.0404208407652982
2007-07-08T11:00:00Z,2007,189,12,24.397142857142857,1869.5,3.6,6.239814821327289,7.811579004308279,1.0548979161004626,914.7933080090489,8.153916892395223,1.0438244160237176
2007-07-08T12:00:00Z,2007,189,13,24.658571428571427,1539.0885714285714,3.4,6.208973708311743,7.776618552103875,1.0570247703974858,755.3841273360473,8.13646562370142,1.0462729487355649
2007-07-08T13:00:00Z,2007,189,14,24.855714285714285,1304.2957142857142,3.2,5.972336864133385,7.750087280776873,1.0605994704475088,655.2050713214203,8.12330006929333,1.0481559465068433
