date	event	z	s62	p80	type
2009-08-20	14474	8.995833333333334	19.297619603926965	20.78066736027267	m3
2009-09-07	14496	10.4	39.8431925941715	39.630284546637085	m3
2009-09-08	14496	10.175	40.298072380890495	40.05604544167059	m3
2009-09-09	14496	10.1875	38.31955247761228	38.137046690513245	m3
2009-09-10	14496	10.2	38.97395100896266	38.81221202197993	m3
2009-09-11	14496	10.166666666666666	38.109149023521084	37.92644509009113	m3
2010-06-20	14782	6.970833333333333	49.614678673558736	49.708258233470026	m3
2010-06-21	14782	6.685416666666667	35.05664086831366	35.202360131075764	m3
2010-06-22	14782	6.797916666666667	45.32505560530592	45.66770313385911	m3
2010-06-23	14782	6.41875	31.849588048135264	32.12319938884042	m3
2010-06-24	14782	6.20625	46.826586051361936	47.22247849267016	m3
2010-07-05	14797	6.789583333333334	44.21097701300268	44.30332466550919	m3
2010-07-06	14797	6.729166666666667	50.68015621017982	50.56841399129885	m3
2010-07-07	14797	6.597916666666666	48.500983273572054	48.343803864708526	m3
2010-07-08	14797	6.329166666666667	60.708676826776404	60.77252280964717	m3
2010-07-09	14797	5.702083333333333	62.39550298999186	62.39134555987934	m3
2010-07-19	14811	6.779166666666667	41.937451798102686	42.59230734010376	m3
2010-07-20	14811	6.652083333333334	43.74103499904459	44.15075981635598	m3
2010-07-21	14811	6.702083333333333	39.29849676439513	41.61616209463437	m3
2010-07-22	14811	6.7875	29.896983830400586	30.062940733868754	m3
2010-07-23	14811	6.925	35.07399029784139	36.26047472813553	m3
2012-05-29	15491	9.202083333333333	34.23692024770079	34.29371896473061	m3
2012-05-30	15491	9.14375	35.40653221308657	35.473648371489475	m3
2012-05-31	15491	9.241666666666667	33.88900962088049	34.059508983607444	m3
2012-06-01	15491	9.352083333333335	35.411984743475486	35.23876732697713	m3
2012-06-02	15491	9.59375	36.37082890138558	36.0304682790832	m3
2012-06-11	15504	8.764583333333334	70.76208394055315	72.75201690760196	m3
2012-06-12	15504	8.76875	72.48377901941093	74.71024500922594	m3
2012-06-13	15504	8.947916666666666	70.79505924841601	73.28190467103542	m3
2012-06-14	15504	9.097916666666666	40.82321225422242	43.442159179246275	m3
2012-06-15	15504	9.227083333333333	82.4641302332537	82.17103793010517	m3
2012-06-24	15517	8.691666666666666	27.84964199371588	30.442582952802407	m3
2012-06-25	15517	8.793750000000001	26.993000878779213	30.382970565360914	m3
2012-06-26	15517	8.727083333333333	26.85178020329596	29.66500847896887	m3
2012-06-27	15517	8.285416666666666	27.94426814668102	30.65404827477906	m3
2012-06-28	15517	7.885416666666667	30.359364048217067	31.54030182431208	m3
2012-07-08	15531	6.6625	43.057644681061944	43.07935984784848	m3
2012-07-09	15531	6.802083333333333	41.53678403322284	41.66629330095443	m3
2012-07-10	15531	6.952083333333333	43.88773560165663	43.70956819615014	m3
2012-07-11	15531	6.641666666666667	41.77422527018716	41.85974688575318	m3
2012-07-12	15531	6.65625	41.697129485526936	41.78018002419524	m3
2012-07-23	15546	6.952083333333333	62.17496927395195	61.51410734741737	m3
2012-07-24	15546	6.63125	62.037680669574684	61.78562312052075	m3
2012-07-25	15546	7.49375	34.125555968729806	34.712923038709675	m3
2012-07-26	15546	8.339583333333334	45.44228464443432	45.611072891237434	m3
2012-07-27	15546	8.083333333333332	53.48462680754352	53.350087233417675	m3
2012-08-05	15559	8.4	55.01404475332904	54.3143055925701	m3
2012-08-06	15559	8.49375	57.0874197594672	55.68207838970653	m3
2012-08-07	15559	8.375	56.86237427077421	55.574981653600716	m3
2012-08-08	15559	8.4375	16.763303946093085	27.883468037219668	m3
2012-08-09	15559	8.533333333333333	21.419144633226598	31.220988137882742	m3
