year,yday,hour,datetime,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,do,do2_sat,k,series,unique_series,series_length,unique_day,index
2010,225,2,2010-08-13T06:00:00Z,25.60904761904762,1e-5,2,5.519053271144816,7.658490740863379,1.0416543245831043,5.240591852265371e-6,8.062040816326531,1.0526931596730844,0.01170693703574044,1,4,1918,295,7048
2010,225,3,2010-08-13T07:00:00Z,25.469047619047622,1e-5,2.5,5.484204628092795,7.677891735051612,1.050744172800682,5.259199604745138e-6,8.113469387755103,1.0567314137440833,0.013293554008374783,1,4,1918,295,7049
2010,225,4,2010-08-13T08:00:00Z,25.384761904761906,1e-5,1.3,5.471658426340584,7.690581072097172,1.0503107534106417,5.265923260798201e-6,8.113469387755103,1.0549878236369221,0.009575898280814853,1,4,1918,295,7050
2010,225,5,2010-08-13T09:00:00Z,25.331904761904763,1e-5,1.4,5.485381310620849,7.701438222794301,1.042337777408983,5.2585696734267525e-6,8.074897959183675,1.0484922069859663,0.009849266498288689,1,4,1918,295,7051
2010,225,6,2010-08-13T10:00:00Z,25.263333333333335,2.0694285714285714,2.3,5.464863605684689,7.705614494216056,1.0430706085845667,1.0904998958261847,8.074897959183675,1.0479239475637936,0.01265774779063512,1,4,1918,295,7052
2010,225,7,2010-08-13T11:00:00Z,25.219047619047622,8.853,2.9,5.428688400430376,7.710436452374864,1.0424182923554732,4.6823961596971255,8.067755102040817,1.0463422079765532,0.014597612781175813,1,4,1918,295,7053
2010,225,8,2010-08-13T12:00:00Z,25.144761904761907,13.483428571428572,4.1,5.3908704774399,7.721790749151884,1.038295424009074,7.159068934192699,8.04061224489796,1.0412885438239947,0.018431633803767215,1,4,1918,295,7054
2010,225,9,2010-08-13T13:00:00Z,25.011904761904763,44.196285714285715,8.7,5.334813919194158,7.7389573296548555,1.032115782496016,23.601309720396138,8.106326530612245,1.0474701158448916,0.033076014133237706,1,4,1918,295,7055
2010,225,10,2010-08-13T14:00:00Z,24.800476190476193,342.53000000000003,7.4,5.330968107274778,7.7431408184719706,1.062553322079917,182.98703733075294,8.210612244897959,1.060372326603023,0.028854577944705424,1,4,1918,295,7056
2010,225,11,2010-08-13T15:00:00Z,24.77619047619048,1192.21,7.3,5.320041799829848,7.7552783236139335,1.0608903583702736,637.6194612271094,8.196326530612245,1.056870712899545,0.028582959216289623,1,4,1918,295,7057
2010,225,12,2010-08-13T16:00:00Z,24.81904761904762,1486.4714285714285,9.7,5.305083887815133,7.750221063210721,1.064163193892597,796.2191905134708,8.239183673469388,1.0630901501093573,0.03626995511226418,1,4,1918,295,7058
2010,225,13,2010-08-13T17:00:00Z,24.886190476190478,1548.2857142857142,8.4,5.2831409900099295,7.736052766667859,1.066112169701815,831.2027935970374,8.226326530612246,1.0633751835376328,0.032349402635502414,1,4,1918,295,7059
2010,225,14,2010-08-13T18:00:00Z,24.93904761904762,734.2057142857143,4.8,5.2556233343983,7.736322464479802,1.055734173116476,395.27921144849796,8.133469387755103,1.051335363164959,0.021053034762804523,1,4,1918,295,7060
2010,225,15,2010-08-13T19:00:00Z,24.980476190476192,400.4042857142857,3.5,5.226120584542401,7.729251130021684,1.0489373244076823,216.22503381871485,8.10204081632653,1.0482310226480895,0.01700995241320986,1,4,1918,295,7061
2010,225,16,2010-08-13T20:00:00Z,25.081904761904763,446.0128571428571,3.9,5.220526524657071,7.706876976654789,1.0480899104096095,240.9935107437673,8.06061224489796,1.0458986525040799,0.018359645935290724,1,4,1918,295,7062
2010,225,17,2010-08-13T21:00:00Z,25.164761904761907,236.98,4.7,5.216572158659327,7.698756536050801,1.0414019410091262,128.0993528258122,8.012278911564627,1.0407237680586081,0.0209984609168816,1,4,1918,295,7063
2010,225,18,2010-08-13T22:00:00Z,25.104761904761908,215.14285714285714,3,5.213646257788093,7.707720450869675,1.0414882131712813,116.33043740943778,8.03061224489796,1.0418919959651431,0.015482855100363738,1,4,1918,295,7064
2010,225,19,2010-08-13T23:00:00Z,25.11047619047619,101.59442857142857,2,5.210408800298923,7.703543504201046,1.0420529196235846,54.95174682008331,8.03204081632653,1.0426423647697116,0.012257891151525641,1,4,1918,295,7065
2010,225,20,2010-08-14T00:00:00Z,25.070476190476192,1.576857142857143,4,5.211485023870775,7.721962199376259,1.0408623860719273,0.8528166978338095,8.027755102040816,1.0396004143466615,0.01870991367953955,1,4,1918,295,7066
2010,225,21,2010-08-14T01:00:00Z,24.969047619047622,0.027857142857142858,5.9,5.2201844295017885,7.734634070796512,1.0339855676167002,0.015052542978796601,7.9963265306122455,1.0338338514040115,0.0247527271879912,1,4,1918,295,7067
2010,225,22,2010-08-14T02:00:00Z,24.91761904761905,1e-5,3.1,5.237698645468311,7.733034084205038,1.0341995021507977,5.393722322169261e-6,7.984897959183673,1.032569864846849,0.015665415829431907,1,4,1918,295,7068
2010,225,23,2010-08-14T03:00:00Z,24.886190476190478,1e-5,1.8,5.277906978408129,7.7405504440374955,1.024151971789876,5.3714280980569265e-6,7.966326530612244,1.0291679626929715,0.011402487932105057,1,4,1918,295,7069
2010,225,24,2010-08-14T04:00:00Z,24.851904761904763,1e-5,0.9,5.303368142191929,7.7492362004583395,1.0217135979842387,5.35738240762471e-6,7.94204081632653,1.024880467039679,0.008493930413964953,1,4,1918,295,7070
