year,yday,hour,datetime,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,k,series,unique_series,series_length,unique_day,index
2009,164,11,2009-06-13T15:00:00Z,10.623333333333333,14.667579365079364,833.8,6.5,10.1481232339793,9.59015667680177,1.1077330320401102,287.852591826846,0.01347922162739004,1,3,1313,160,3814
2009,164,12,2009-06-13T16:00:00Z,10.643333333333333,14.727579365079364,920,6.1,10.098722682885722,9.575425472963849,1.111525891291694,318.8613642068281,0.012873861450726465,1,3,1313,160,3815
2009,164,13,2009-06-13T17:00:00Z,10.633333333333333,14.92472222222222,1360.3,6.4,10.247833779182661,9.531049860326213,1.1156518420489505,465.92242247505743,0.013267890614452365,1,3,1313,160,3816
2009,164,14,2009-06-13T18:00:00Z,10.673333333333334,14.90472222222222,462.9,6.2,10.197628715892424,9.528198124682577,1.1201838158344242,159.18073602920853,0.012981431646708749,1,3,1313,160,3817
2009,164,15,2009-06-13T19:00:00Z,10.703333333333333,14.774722222222222,397,6.7,10.178585477002608,9.549617135302169,1.1208128223032323,136.72537801141377,0.013821357261272675,1,3,1313,160,3818
2009,164,16,2009-06-13T20:00:00Z,10.703333333333333,14.73472222222222,744.9,3.8,10.16244659456403,9.558921821004452,1.1197218194435057,256.8694639142085,0.008835554054689916,1,3,1313,160,3819
2009,164,17,2009-06-13T21:00:00Z,10.713333333333333,14.749007936507935,332.9,5.2,10.177575198918,9.571190058209721,1.119331375531921,114.65875045848357,0.011233539301505537,1,3,1313,160,3820
2009,164,18,2009-06-13T22:00:00Z,10.643333333333333,14.92472222222222,50.5,3.6,10.177039713795871,9.531815758313348,1.1166113155356108,17.39415055487379,0.008521885906947836,1,3,1313,160,3821
2009,164,19,2009-06-13T23:00:00Z,10.583333333333334,15.001865079365079,34.7,7.4,10.186339759580871,9.515357982136003,1.1122370123333598,11.943213255402872,0.015105216348374606,1,3,1313,160,3822
2009,164,20,2009-06-14T00:00:00Z,10.593333333333334,14.947579365079363,60.1,5.7,10.16203289224642,9.52385208956593,1.1122950287036795,20.725414867566897,0.012175927817970025,1,3,1313,160,3823
2009,164,21,2009-06-14T01:00:00Z,10.573333333333334,14.919007936507935,2.8,1.3,10.136813027845976,9.524435716096239,1.1101270089381217,0.9675121607833391,0.004564923400770936,1,3,1313,160,3824
2009,164,22,2009-06-14T02:00:00Z,10.553333333333333,14.971865079365077,0,1.3,10.106433804538213,9.51659132930583,1.1089404775462945,1e-5,0.004585063224722516,1,3,1313,160,3825
