datetime,year,yday,hour,do,wtemp,par,par_sp,wspeed,z,do_eq,o2_sat,par_int
2012-07-30T19:00:00Z,2012,212,20,8.129999999999999,24.592233606557375,66,61.83147540983607,6.1,8.377184302271619,7.82428721671368,1.0390722854132037,23.140704188102365
2012-07-30T20:00:00Z,2012,212,21,8.12,24.562725409836062,0.7,2.46272972972973,4.8,8.372502648142483,7.834474130115558,1.0364448034599905,0.2455412956462462
2012-07-30T21:00:00Z,2012,212,22,8.11,24.516495901639345,0.6,0.1512,4.4,8.36830467632628,7.84417839672997,1.0338877559670039,0.2105482525133591
2012-07-30T22:00:00Z,2012,212,23,8.059999999999999,24.493381147540983,0.6,0.1365,3.9,8.353653531079448,7.8503376041422195,1.026707436855601,0.2108428523330328
2012-07-30T23:00:00Z,2012,212,24,8.059999999999999,24.473545081967213,0.6,0.126,3.3,8.349601397812084,7.853623954914353,1.0262778108896478,0.21092445243086472
2012-07-31T00:00:00Z,2012,213,1,8.059999999999999,24.438135245901638,0.6,0.1575,5.3,8.349689079662262,7.858047628883844,1.0257000696170175,0.20907650497601651
2012-07-31T01:00:00Z,2012,213,2,8.049999999999999,24.40288934426229,0.5,0.1512,5.8,8.34017673880403,7.8654371658825974,1.0234650446281572,0.17438963613315467
2012-07-31T02:00:00Z,2012,213,3,8.03,24.376331967213115,0.7,0.153,4.2,8.33342867765344,7.8743152632263165,1.0197712095044942,0.24430382331435022
2012-07-31T03:00:00Z,2012,213,4,8,24.38092213114754,0.5,0.1638,4.1,8.286654346648422,7.873601486974882,1.0160534557450256,0.17529002612081246
2012-07-31T04:00:00Z,2012,213,5,7.989999999999999,24.37813524590164,0.5,0.8316153846153846,4,8.249952124877595,7.8769412925530045,1.0143531230268128,0.17591194661712806
2012-07-31T05:00:00Z,2012,213,6,7.989999999999999,24.358463114754098,35.3,50.562344262295085,3.3,8.245920764985065,7.883886075632416,1.0134595963652444,12.424222048147007
2012-07-31T06:00:00Z,2012,213,7,8,24.321741803278687,243.3,271.0770491803279,3.2,8.254895701923342,7.8937316292978,1.0134623744120945,85.55788698193359
2012-07-31T07:00:00Z,2012,213,8,8.01,24.3196106557377,351.1,675.4393442622951,3.3,8.276027112447641,7.898321924115484,1.014139468732407,123.21484270482378
2012-07-31T08:00:00Z,2012,213,9,8.04,24.353217213114753,763.7,868.0655737704918,2.9,8.276701502999643,7.892430692149581,1.0186975741196185,267.99503007078675
2012-07-31T09:00:00Z,2012,213,10,8.049999999999999,24.459282786885243,1129.2,1332.5426229508196,3,8.274656381797694,7.880271543662317,1.0215384019950664,396.33322936416226
2012-07-31T10:00:00Z,2012,213,11,8.059999999999999,24.500430327868852,833.5,1508.4934426229509,5.4,8.307310542939552,7.8738233384904754,1.0236450138015436,291.62767460359566
2012-07-31T11:00:00Z,2012,213,12,8.069999999999999,24.586004098360654,1085.8,1391,4.7,8.294492428846265,7.859907352387364,1.0267296595485722,380.37242750791245
